DATE,AHEMAN
1939-01-01,0.49
1939-02-01,0.49
1939-03-01,0.49
1939-04-01,0.49
1939-05-01,0.49
1939-06-01,0.49
1939-07-01,0.48
1939-08-01,0.48
1939-09-01,0.49
1939-10-01,0.50
1939-11-01,0.51
1939-12-01,0.52
1940-01-01,0.52
1940-02-01,0.52
1940-03-01,0.52
1940-04-01,0.52
1940-05-01,0.52
1940-06-01,0.53
1940-07-01,0.52
1940-08-01,0.52
1940-09-01,0.53
1940-10-01,0.54
1940-11-01,0.54
1940-12-01,0.55
1941-01-01,0.56
1941-02-01,0.56
1941-03-01,0.56
1941-04-01,0.58
1941-05-01,0.60
1941-06-01,0.61
1941-07-01,0.61
1941-08-01,0.61
1941-09-01,0.62
1941-10-01,0.64
1941-11-01,0.65
1941-12-01,0.66
1942-01-01,0.68
1942-02-01,0.69
1942-03-01,0.69
1942-04-01,0.71
1942-05-01,0.72
1942-06-01,0.73
1942-07-01,0.74
1942-08-01,0.76
1942-09-01,0.78
1942-10-01,0.78
1942-11-01,0.79
1942-12-01,0.80
1943-01-01,0.81
1943-02-01,0.82
1943-03-01,0.83
1943-04-01,0.84
1943-05-01,0.85
1943-06-01,0.85
1943-07-01,0.86
1943-08-01,0.86
1943-09-01,0.89
1943-10-01,0.88
1943-11-01,0.89
1943-12-01,0.89
1944-01-01,0.90
1944-02-01,0.90
1944-03-01,0.90
1944-04-01,0.91
1944-05-01,0.91
1944-06-01,0.91
1944-07-01,0.91
1944-08-01,0.91
1944-09-01,0.92
1944-10-01,0.92
1944-11-01,0.92
1944-12-01,0.93
1945-01-01,0.93
1945-02-01,0.93
1945-03-01,0.93
1945-04-01,0.93
1945-05-01,0.93
1945-06-01,0.92
1945-07-01,0.91
1945-08-01,0.90
1945-09-01,0.85
1945-10-01,0.85
1945-11-01,0.85
1945-12-01,0.85
1946-01-01,0.86
1946-02-01,0.85
1946-03-01,0.89
1946-04-01,0.92
1946-05-01,0.93
1946-06-01,0.95
1946-07-01,0.96
1946-08-01,0.98
1946-09-01,1.00
1946-10-01,1.00
1946-11-01,1.01
1946-12-01,1.02
1947-01-01,1.03
1947-02-01,1.04
1947-03-01,1.06
1947-04-01,1.06
1947-05-01,1.08
1947-06-01,1.10
1947-07-01,1.10
1947-08-01,1.11
1947-09-01,1.12
1947-10-01,1.13
1947-11-01,1.14
1947-12-01,1.16
1948-01-01,1.16
1948-02-01,1.16
1948-03-01,1.16
1948-04-01,1.17
1948-05-01,1.18
1948-06-01,1.19
1948-07-01,1.21
1948-08-01,1.22
1948-09-01,1.24
1948-10-01,1.24
1948-11-01,1.25
1948-12-01,1.26
1949-01-01,1.26
1949-02-01,1.26
1949-03-01,1.26
1949-04-01,1.26
1949-05-01,1.25
1949-06-01,1.26
1949-07-01,1.26
1949-08-01,1.24
1949-09-01,1.25
1949-10-01,1.23
1949-11-01,1.24
1949-12-01,1.26
1950-01-01,1.27
1950-02-01,1.27
1950-03-01,1.28
1950-04-01,1.29
1950-05-01,1.30
1950-06-01,1.31
1950-07-01,1.31
1950-08-01,1.32
1950-09-01,1.33
1950-10-01,1.36
1950-11-01,1.37
1950-12-01,1.40
1951-01-01,1.40
1951-02-01,1.42
1951-03-01,1.43
1951-04-01,1.43
1951-05-01,1.44
1951-06-01,1.45
1951-07-01,1.45
1951-08-01,1.45
1951-09-01,1.46
1951-10-01,1.47
1951-11-01,1.48
1951-12-01,1.50
1952-01-01,1.50
1952-02-01,1.50
1952-03-01,1.52
1952-04-01,1.52
1952-05-01,1.52
1952-06-01,1.51
1952-07-01,1.50
1952-08-01,1.52
1952-09-01,1.55
1952-10-01,1.56
1952-11-01,1.58
1952-12-01,1.59
1953-01-01,1.60
1953-02-01,1.61
1953-03-01,1.61
1953-04-01,1.62
1953-05-01,1.62
1953-06-01,1.63
1953-07-01,1.63
1953-08-01,1.63
1953-09-01,1.65
1953-10-01,1.64
1953-11-01,1.65
1953-12-01,1.66
1954-01-01,1.67
1954-02-01,1.65
1954-03-01,1.66
1954-04-01,1.66
1954-05-01,1.67
1954-06-01,1.66
1954-07-01,1.66
1954-08-01,1.64
1954-09-01,1.66
1954-10-01,1.67
1954-11-01,1.68
1954-12-01,1.69
1955-01-01,1.70
1955-02-01,1.70
1955-03-01,1.71
1955-04-01,1.72
1955-05-01,1.73
1955-06-01,1.73
1955-07-01,1.75
1955-08-01,1.74
1955-09-01,1.76
1955-10-01,1.77
1955-11-01,1.78
1955-12-01,1.79
1956-01-01,1.79
1956-02-01,1.79
1956-03-01,1.81
1956-04-01,1.82
1956-05-01,1.82
1956-06-01,1.83
1956-07-01,1.82
1956-08-01,1.83
1956-09-01,1.86
1956-10-01,1.87
1956-11-01,1.89
1956-12-01,1.91
1957-01-01,1.91
1957-02-01,1.91
1957-03-01,1.92
1957-04-01,1.92
1957-05-01,1.92
1957-06-01,1.93
