DATE,GNPC96
1947-01-01,2046.02
1947-04-01,2041.114
1947-07-01,2036.864
1947-10-01,2069.176
1948-01-01,2101.218
1948-04-01,2136.364
1948-07-01,2148.601
1948-10-01,2150.979
1949-01-01,2120.94
1949-04-01,2113.381
1949-07-01,2134.701
1949-10-01,2115.784
1950-01-01,2199.226
1950-04-01,2266.641
1950-07-01,2356.006
1950-10-01,2400.8
1951-01-01,2432.613
1951-04-01,2476.905
1951-07-01,2528.301
1951-10-01,2534.773
1952-01-01,2560.685
1952-04-01,2566.259
1952-07-01,2584.373
1952-10-01,2668.419
1953-01-01,2717.467
1953-04-01,2739.305
1953-07-01,2722.219
1953-10-01,2681.277
1954-01-01,2669.682
1954-04-01,2672.491
1954-07-01,2702.702
1954-10-01,2757.292
1955-01-01,2835.923
1955-04-01,2881.465
1955-07-01,2920.33
1955-10-01,2938.163
1956-01-01,2928.881
1956-04-01,2952.705
1956-07-01,2950.552
1956-10-01,2996.248
1957-01-01,3018.576
1957-04-01,3013.634
1957-07-01,3041.953
1957-10-01,3006.169
1958-01-01,2929.045
1958-04-01,2948.476
1958-07-01,3015.645
1958-10-01,3085.566
1959-01-01,3144.385
1959-04-01,3214.929
1959-07-01,3218.557
1959-10-01,3228.859
1960-01-01,3300.197
1960-04-01,3282.953
1960-07-01,3299.784
1960-10-01,3258.882
1961-01-01,3282.018
1961-04-01,3336.135
1961-07-01,3400.249
1961-10-01,3466.998
1962-01-01,3528.263
1962-04-01,3562.183
1962-07-01,3605.884
1962-10-01,3621.456
1963-01-01,3659.288
1963-04-01,3699.001
1963-07-01,3780.236
1963-10-01,3805.718
1964-01-01,3887.879
1964-04-01,3928.673
1964-07-01,3990.488
1964-10-01,4000.567
1965-01-01,4100.549
1965-04-01,4152.994
1965-07-01,4242.267
1965-10-01,4336.508
1966-01-01,4442.347
1966-04-01,4457.473
1966-07-01,4494.311
1966-10-01,4532.239
1967-01-01,4571.739
1967-04-01,4573.684
1967-07-01,4619.678
1967-10-01,4653.35
1968-01-01,4748.414
1968-04-01,4827.866
1968-07-01,4866.004
1968-10-01,4884.762
1969-01-01,4960.831
1969-04-01,4974.574
1969-07-01,5005.77
1969-10-01,4981.491
1970-01-01,4974.96
1970-04-01,4983.053
1970-07-01,5028.206
1970-10-01,4971.917
1971-01-01,5111.649
1971-04-01,5141.055
1971-07-01,5179.491
1971-10-01,5193.447
1972-01-01,5289.841
1972-04-01,5408.498
1972-07-01,5462.281
1972-10-01,5552.854
1973-01-01,5695.383
1973-04-01,5759.926
1973-07-01,5737.956
1973-10-01,5792.293
1974-01-01,5752.963
1974-04-01,5762.854
1974-07-01,5703.217
1974-10-01,5673.236
1975-01-01,5596.695
1975-04-01,5636.704
1975-07-01,5735.925
1975-10-01,5821.383
1976-01-01,5949.453
1976-04-01,5994.821
1976-07-01,6027.968
1976-10-01,6072.616
1977-01-01,6151.879
1977-04-01,6268.879
1977-07-01,6380.187
1977-10-01,6373.154
1978-01-01,6402.241
1978-04-01,6636.139
1978-07-01,6707.357
1978-10-01,6805.616
1979-01-01,6819.42
1979-04-01,6835.154
1979-07-01,6900.733
1979-10-01,6917.062
1980-01-01,6940.239
1980-04-01,6791.942
1980-07-01,6778.881
1980-10-01,6888.213
1981-01-01,7026.353
1981-04-01,6970.651
1981-07-01,7057.542
1981-10-01,6990.346
1982-01-01,6878.67
1982-04-01,6919.088
1982-07-01,6879.868
1982-10-01,6879.856
1983-01-01,6968.801
1983-04-01,7130.323
1983-07-01,7272.82
1983-10-01,7425.819
1984-01-01,7563.544
1984-04-01,7693.366
1984-07-01,7766.091
1984-10-01,7821.249
1985-01-01,7882.146
1985-04-01,7953.695
1985-07-01,8064.748
1985-10-01,8129.537
1986-01-01,8198.904
1986-04-01,8223.063
1986-07-01,8305.315
1986-10-01,8338.152
1987-01-01,8403.205
1987-04-01,8499.673
1987-07-01,8572.009
1987-10-01,8721.613
1988-01-01,8775.398
1988-04-01,8885.937
1988-07-01,8932.772
1988-10-01,9055.015
1989-01-01,9145.538
1989-04-01,9213.172
1989-07-01,9284.968
1989-10-01,9313.068
1990-01-01,9411.316
1990-04-01,9447.76
1990-07-01,9445.905
1990-10-01,9395.226
1991-01-01,9333.469
1991-04-01,9388.478
1991-07-01,9430.024
1991-10-01,9474.704
1992-01-01,9586.727
1992-04-01,9689.024
1992-07-01,9780.022
1992-10-01,9883.046
1993-01-01,9909.231
1993-04-01,9956.877
1993-07-01,10012.144
1993-10-01,10125.07
1994-01-01,10232.777
1994-04-01,10364.303
1994-07-01,10422.141
1994-10-01,10539.433
1995-01-01,10589.42
1995-04-01,10624.266
1995-07-01,10694.689
1995-10-01,10782.951
1996-01-01,10872.421
1996-04-01,11041.392
1996-07-01,11135.535
1996-10-01,11258.169
1997-01-01,11319.212
1997-04-01,11516.945
1997-07-01,11650.143
1997-10-01,11740.681
1998-01-01,11869.712
1998-04-01,11975.231
1998-07-01,12107.382
1998-10-01,12306.035
1999-01-01,12434.656
1999-04-01,12536.319
1999-07-01,12695.786
1999-10-01,12923.768
2000-01-01,12965.481
2000-04-01,13205.975
2000-07-01,13217.516
2000-10-01,13330.887
2001-01-01,13274.505
2001-04-01,13362.782
2001-07-01,13278.672
2001-10-01,13393.874
2002-01-01,13462.072
2002-04-01,13519.534
2002-07-01,13595.914
2002-10-01,13635.313
2003-01-01,13690.909
2003-04-01,13823.092
2003-07-01,14055.144
2003-10-01,14246.699
2004-01-01,14343.272
2004-04-01,14420.669
2004-07-01,14567.478
2004-10-01,14680.605
2005-01-01,14879.87
2005-04-01,14933.331
2005-07-01,15075.575
2005-10-01,15135.398
2006-01-01,15337.163
2006-04-01,15366.09
2006-07-01,15374.468
2006-10-01,15516.768
2007-01-01,15554.96
2007-04-01,15667.523
2007-07-01,15813.506
2007-10-01,15957.211
2008-01-01,15847.877
2008-04-01,15931.569
2008-07-01,15864.097
2008-10-01,15442.668
2009-01-01,15281.315
2009-04-01,15257.271
2009-07-01,15370.646
2009-10-01,15528.249
2010-01-01,15619.326
2010-04-01,15762.241
2010-07-01,15870.339
2010-10-01,15963.636
2011-01-01,15936.616
2011-04-01,16049.711
2011-07-01,16070.008
2011-10-01,16270.304
2012-01-01,16378.884
2012-04-01,16427.383
2012-07-01,16449.057
2012-10-01,16461.908
2013-01-01,16594.788
2013-04-01,16628.331
2013-07-01,16769.046
2013-10-01,16897.175
2014-01-01,16861.046
2014-04-01,17060.932
2014-07-01,17285.426
2014-10-01,17333.024
2015-01-01,17483.265
2015-04-01,17612.123
2015-07-01,17652.519
2015-10-01,17685.177
2016-01-01,17723.266
2016-04-01,17829.06
2016-07-01,17898.399
2016-10-01,18020.367
2017-01-01,18087.558
2017-04-01,18203.597
2017-07-01,18364.143
2017-10-01,18480.826
2018-01-01,18581.496
2018-04-01,18766.395
2018-07-01,18908.024
