DATE,GNPDEF
1947-01-01,11.933
1947-04-01,12.104
1947-07-01,12.309
1947-10-01,12.613
1948-01-01,12.713
1948-04-01,12.828
1948-07-01,13.063
1948-10-01,13.103
1949-01-01,13.033
1949-04-01,12.903
1949-07-01,12.843
1949-10-01,12.844
1950-01-01,12.825
1950-04-01,12.869
1950-07-01,13.148
1950-10-01,13.394
1951-01-01,13.875
1951-04-01,13.968
1951-07-01,13.977
1951-10-01,14.137
1952-01-01,14.13
1952-04-01,14.147
1952-07-01,14.305
1952-10-01,14.344
1953-01-01,14.347
1953-04-01,14.376
1953-07-01,14.436
1953-10-01,14.463
1954-01-01,14.509
1954-04-01,14.523
1954-07-01,14.542
1954-10-01,14.582
1955-01-01,14.651
1955-04-01,14.712
1955-07-01,14.816
1955-10-01,14.962
1956-01-01,15.111
1956-04-01,15.201
1956-07-01,15.391
1956-10-01,15.453
1957-01-01,15.665
1957-04-01,15.775
1957-07-01,15.869
1957-10-01,15.881
1958-01-01,16.052
1958-04-01,16.099
1958-07-01,16.197
1958-10-01,16.274
1959-01-01,16.312
1959-04-01,16.338
1959-07-01,16.401
1959-10-01,16.465
1960-01-01,16.532
1960-04-01,16.573
1960-07-01,16.63
1960-10-01,16.679
1961-01-01,16.715
1961-04-01,16.754
1961-07-01,16.798
1961-10-01,16.851
1962-01-01,16.938
1962-04-01,16.966
1962-07-01,17.002
1962-10-01,17.038
1963-01-01,17.112
1963-04-01,17.142
1963-07-01,17.165
1963-10-01,17.305
1964-01-01,17.359
1964-04-01,17.399
1964-07-01,17.469
1964-10-01,17.548
1965-01-01,17.637
1965-04-01,17.718
1965-07-01,17.787
1965-10-01,17.909
1966-01-01,18.025
1966-04-01,18.172
1966-07-01,18.348
1966-10-01,18.502
1967-01-01,18.579
1967-04-01,18.673
1967-07-01,18.852
1967-10-01,19.062
1968-01-01,19.274
1968-04-01,19.477
1968-07-01,19.669
1968-10-01,19.946
1969-01-01,20.151
1969-04-01,20.407
1969-07-01,20.694
1969-10-01,20.961
1970-01-01,21.256
1970-04-01,21.553
1970-07-01,21.73
1970-10-01,22.017
1971-01-01,22.352
1971-04-01,22.646
1971-07-01,22.877
1971-10-01,23.068
1972-01-01,23.418
1972-04-01,23.564
1972-07-01,23.79
1972-10-01,24.094
1973-01-01,24.373
1973-04-01,24.749
1973-07-01,25.23
1973-10-01,25.734
1974-01-01,26.217
1974-04-01,26.835
1974-07-01,27.621
1974-10-01,28.432
1975-01-01,29.08
1975-04-01,29.512
1975-07-01,30.036
1975-10-01,30.539
1976-01-01,30.864
1976-04-01,31.177
1976-07-01,31.581
1976-10-01,32.147
1977-01-01,32.663
1977-04-01,33.126
1977-07-01,33.531
1977-10-01,34.254
1978-01-01,34.751
1978-04-01,35.418
1978-07-01,36.019
1978-10-01,36.757
1979-01-01,37.427
1979-04-01,38.341
1979-07-01,39.179
1979-10-01,39.907
1980-01-01,40.745
1980-04-01,41.714
1980-07-01,42.646
1980-10-01,43.757
1981-01-01,44.911
1981-04-01,45.8
1981-07-01,46.664
1981-10-01,47.472
1982-01-01,48.124
1982-04-01,48.748
1982-07-01,49.439
1982-10-01,49.952
1983-01-01,50.331
1983-04-01,50.707
1983-07-01,51.246
1983-10-01,51.636
1984-01-01,52.159
1984-04-01,52.606
1984-07-01,53.072
1984-10-01,53.467
1985-01-01,53.994
1985-04-01,54.347
1985-07-01,54.673
1985-10-01,54.981
1986-01-01,55.252
1986-04-01,55.464
1986-07-01,55.697
1986-10-01,56.003
1987-01-01,56.366
1987-04-01,56.759
1987-07-01,57.19
1987-10-01,57.646
1988-01-01,58.098
1988-04-01,58.664
1988-07-01,59.366
1988-10-01,59.88
1989-01-01,60.507
1989-04-01,61.153
1989-07-01,61.601
1989-10-01,62.042
1990-01-01,62.714
1990-04-01,63.419
1990-07-01,63.967
1990-10-01,64.45
1991-01-01,65.084
1991-04-01,65.564
1991-07-01,66.077
1991-10-01,66.469
1992-01-01,66.716
1992-04-01,67.115
1992-07-01,67.442
1992-10-01,67.905
1993-01-01,68.286
1993-04-01,68.692
1993-07-01,69.099
1993-10-01,69.475
1994-01-01,69.805
1994-04-01,70.142
1994-07-01,70.546
1994-10-01,70.93
1995-01-01,71.318
1995-04-01,71.663
1995-07-01,72.017
1995-10-01,72.365
1996-01-01,72.714
1996-04-01,73.015
1996-07-01,73.254
1996-10-01,73.646
1997-01-01,74.084
1997-04-01,74.234
1997-07-01,74.556
1997-10-01,74.802
1998-01-01,74.912
1998-04-01,75.09
1998-07-01,75.414
1998-10-01,75.623
1999-01-01,75.902
1999-04-01,76.179
1999-07-01,76.44
1999-10-01,76.85
2000-01-01,77.373
2000-04-01,77.84
2000-07-01,78.283
2000-10-01,78.697
2001-01-01,79.179
2001-04-01,79.657
2001-07-01,79.977
2001-10-01,80.241
2002-01-01,80.506
2002-04-01,80.795
2002-07-01,81.168
2002-10-01,81.628
2003-01-01,82.001
2003-04-01,82.241
2003-07-01,82.687
2003-10-01,83.175
2004-01-01,83.795
2004-04-01,84.479
2004-07-01,85.031
2004-10-01,85.687
2005-01-01,86.366
2005-04-01,86.971
2005-07-01,87.758
2005-10-01,88.465
2006-01-01,89.082
2006-04-01,89.827
2006-07-01,90.456
2006-10-01,90.789
2007-01-01,91.68
2007-04-01,92.272
2007-07-01,92.747
2007-10-01,93.12
2008-01-01,93.468
2008-04-01,93.974
2008-07-01,94.68
2008-10-01,94.968
2009-01-01,94.963
2009-04-01,94.829
2009-07-01,94.933
2009-10-01,95.257
2010-01-01,95.493
2010-04-01,95.934
2010-07-01,96.211
2010-10-01,96.753
2011-01-01,97.279
2011-04-01,97.924
2011-07-01,98.552
2011-10-01,98.702
2012-01-01,99.323
2012-04-01,99.714
2012-07-01,100.223
2012-10-01,100.736
2013-01-01,101.138
2013-04-01,101.43
2013-07-01,101.917
2013-10-01,102.514
2014-01-01,102.889
2014-04-01,103.528
2014-07-01,104.015
2014-10-01,104.213
2015-01-01,104.115
2015-04-01,104.704
2015-07-01,105.082
2015-10-01,105.112
2016-01-01,105.022
2016-04-01,105.745
2016-07-01,106.141
2016-10-01,106.691
2017-01-01,107.23
2017-04-01,107.536
2017-07-01,108.053
2017-10-01,108.775
2018-01-01,109.301
2018-04-01,110.191
2018-07-01,110.605
